date,ticker,close_price,sector
2022-01-03,HDFCBANK,1245.23,Banking
2022-01-05,HDFCBANK,1252.11,Banking
2022-01-06,HDFCBANK,1245.9,Banking
2022-01-07,HDFCBANK,1245.73,Banking
2022-01-10,HDFCBANK,1246.87,Banking
2022-01-11,HDFCBANK,1253.78,Banking
2022-01-12,HDFCBANK,1246.35,Banking
2022-01-13,HDFCBANK,1244.8,Banking
2022-01-14,HDFCBANK,1241.3,Banking
2022-01-17,HDFCBANK,1255.22,Banking
2022-01-18,HDFCBANK,1260.87,Banking
2022-01-19,HDFCBANK,1265.86,Banking
2022-01-20,HDFCBANK,1262.83,Banking
2022-01-24,HDFCBANK,1272.38,Banking
2022-01-25,HDFCBANK,1273.68,Banking
2022-01-26,HDFCBANK,1267.05,Banking
2022-01-28,HDFCBANK,1261.4,Banking
2022-01-31,HDFCBANK,1275.01,Banking
2022-02-01,HDFCBANK,1278.19,Banking
2022-02-02,HDFCBANK,1284.84,Banking
2022-02-03,HDFCBANK,1275.23,Banking
2022-02-04,HDFCBANK,1271.57,Banking
2022-02-07,HDFCBANK,1264.8,Banking
2022-02-08,HDFCBANK,1260.46,Banking
2022-02-10,HDFCBANK,1256.48,Banking
2022-02-11,HDFCBANK,1259.66,Banking
2022-02-14,HDFCBANK,1250.35,Banking
2022-02-16,HDFCBANK,1248.12,Banking
2022-02-17,HDFCBANK,1253.51,Banking
2022-02-18,HDFCBANK,1249.32,Banking
2022-02-21,HDFCBANK,1237.78,Banking
2022-02-22,HDFCBANK,1241.39,Banking
2022-02-23,HDFCBANK,1236.95,Banking
2022-02-24,HDFCBANK,1234.82,Banking
2022-02-25,HDFCBANK,1234.65,Banking
2022-02-28,HDFCBANK,1228.3,Banking
2022-03-01,HDFCBANK,1245.24,Banking
2022-03-02,HDFCBANK,1255.55,Banking
2022-03-03,HDFCBANK,1250.13,Banking
2022-03-04,HDFCBANK,1254.11,Banking
2022-03-07,HDFCBANK,1274.92,Banking
2022-03-08,HDFCBANK,1288.44,Banking
2022-03-09,HDFCBANK,1288.41,Banking
2022-03-10,HDFCBANK,1276.11,Banking
2022-03-11,HDFCBANK,1272.68,Banking
2022-03-14,HDFCBANK,1275.62,Banking
2022-03-15,HDFCBANK,1274.72,Banking
2022-03-16,HDFCBANK,1289.14,Banking
2022-03-17,HDFCBANK,1280.59,Banking
2022-03-18,HDFCBANK,1273.66,Banking
2022-03-21,HDFCBANK,1259.24,Banking
2022-03-22,HDFCBANK,1246.09,Banking
2022-03-23,HDFCBANK,1252.19,Banking
2022-03-24,HDFCBANK,1240.86,Banking
2022-03-25,HDFCBANK,1233.51,Banking
2022-03-28,HDFCBANK,1230.8,Banking
2022-03-29,HDFCBANK,1221.06,Banking
2022-03-30,HDFCBANK,1221.98,Banking
2022-03-31,HDFCBANK,1234.49,Banking
2022-04-01,HDFCBANK,1223.37,Banking
2022-04-04,HDFCBANK,1222.84,Banking
2022-04-05,HDFCBANK,1217.98,Banking
2022-04-06,HDFCBANK,1210.7,Banking
2022-04-07,HDFCBANK,1220.22,Banking
2022-04-08,HDFCBANK,1222.63,Banking
2022-04-11,HDFCBANK,1233.8,Banking
2022-04-12,HDFCBANK,1228.31,Banking
2022-04-13,HDFCBANK,1213.15,Banking
2022-04-14,HDFCBANK,1209.77,Banking
2022-04-15,HDFCBANK,1207.05,Banking
2022-04-19,HDFCBANK,1210.02,Banking
2022-04-20,HDFCBANK,1212.83,Banking
2022-04-21,HDFCBANK,1216.52,Banking
2022-04-22,HDFCBANK,1218.45,Banking
2022-04-25,HDFCBANK,1216.89,Banking
2022-04-26,HDFCBANK,1228.02,Banking
2022-04-27,HDFCBANK,1223.44,Banking
2022-04-28,HDFCBANK,1229.06,Banking
2022-04-29,HDFCBANK,1226.4,Banking
2022-05-02,HDFCBANK,1230.67,Banking
2022-05-03,HDFCBANK,1213.16,Banking
2022-05-04,HDFCBANK,1223.45,Banking
2022-05-05,HDFCBANK,1218.47,Banking
2022-05-06,HDFCBANK,1207.24,Banking
2022-05-09,HDFCBANK,1189.28,Banking
2022-05-10,HDFCBANK,1190.14,Banking
2022-05-11,HDFCBANK,1203.57,Banking
2022-05-12,HDFCBANK,1197.09,Banking
2022-05-13,HDFCBANK,1186.58,Banking
2022-05-16,HDFCBANK,1188.57,Banking
2022-05-17,HDFCBANK,1190.32,Banking
2022-05-18,HDFCBANK,1187.63,Banking
2022-05-19,HDFCBANK,1194.37,Banking
2022-05-20,HDFCBANK,1188.36,Banking
2022-05-23,HDFCBANK,1176.15,Banking
2022-05-24,HDFCBANK,1180.25,Banking
2022-05-25,HDFCBANK,1170.17,Banking
2022-05-26,HDFCBANK,1181.63,Banking
2022-05-27,HDFCBANK,1192.81,Banking
2022-05-30,HDFCBANK,1189.48,Banking
2022-05-31,HDFCBANK,1195.47,Banking
2022-06-01,HDFCBANK,1191.15,Banking
2022-06-02,HDFCBANK,1191.56,Banking
2022-06-03,HDFCBANK,1198.44,Banking
2022-06-06,HDFCBANK,1200.98,Banking
2022-06-07,HDFCBANK,1201.7,Banking
2022-06-08,HDFCBANK,1192.9,Banking
2022-06-09,HDFCBANK,1180.65,Banking
2022-06-10,HDFCBANK,1172.34,Banking
2022-06-13,HDFCBANK,1167.98,Banking
2022-06-14,HDFCBANK,1167.3,Banking
2022-06-15,HDFCBANK,1155.41,Banking
2022-06-16,HDFCBANK,1152.16,Banking
2022-06-17,HDFCBANK,1140.61,Banking
2022-06-20,HDFCBANK,1141.24,Banking
2022-06-21,HDFCBANK,1148.41,Banking
2022-06-23,HDFCBANK,1156.85,Banking
2022-06-24,HDFCBANK,1155.39,Banking
2022-06-27,HDFCBANK,1162.33,Banking
2022-06-28,HDFCBANK,1153.49,Banking
2022-06-29,HDFCBANK,1155.6,Banking
2022-06-30,HDFCBANK,1146.23,Banking
2022-07-01,HDFCBANK,1133.75,Banking
2022-07-04,HDFCBANK,1124.53,Banking
2022-07-05,HDFCBANK,1129.81,Banking
2022-07-06,HDFCBANK,1129.38,Banking
2022-07-07,HDFCBANK,1129.12,Banking
2022-07-08,HDFCBANK,1127.45,Banking
2022-07-11,HDFCBANK,1131.35,Banking
2022-07-12,HDFCBANK,1120.88,Banking
2022-07-13,HDFCBANK,1112.24,Banking
2022-07-14,HDFCBANK,1102.57,Banking
2022-07-15,HDFCBANK,1092.02,Banking
2022-07-18,HDFCBANK,1091.09,Banking
2022-07-19,HDFCBANK,1091.6,Banking
2022-07-20,HDFCBANK,1087.19,Banking
2022-07-21,HDFCBANK,1090.58,Banking
2022-07-22,HDFCBANK,1098.49,Banking
2022-07-25,HDFCBANK,1097.4,Banking
2022-07-26,HDFCBANK,1100.46,Banking
2022-07-27,HDFCBANK,1092.03,Banking
2022-07-28,HDFCBANK,1090.32,Banking
2022-07-29,HDFCBANK,1084.59,Banking
2022-08-01,HDFCBANK,1091.95,Banking
2022-08-02,HDFCBANK,1077.31,Banking
2022-08-03,HDFCBANK,1079.94,Banking
2022-08-04,HDFCBANK,1083.62,Banking
2022-08-05,HDFCBANK,1076.45,Banking
2022-08-08,HDFCBANK,1084.25,Banking
2022-08-09,HDFCBANK,1093.28,Banking
2022-08-10,HDFCBANK,1101.9,Banking
2022-08-11,HDFCBANK,1091.56,Banking
2022-08-12,HDFCBANK,1093.24,Banking
2022-08-15,HDFCBANK,1101.25,Banking
2022-08-16,HDFCBANK,1099.34,Banking
2022-08-17,HDFCBANK,1107.68,Banking
2022-08-18,HDFCBANK,1116.67,Banking
2022-08-19,HDFCBANK,1105.41,Banking
2022-08-22,HDFCBANK,1097.82,Banking
2022-08-23,HDFCBANK,1094.57,Banking
2022-08-24,HDFCBANK,1088.04,Banking
2022-08-25,HDFCBANK,1078.62,Banking
2022-08-26,HDFCBANK,1066.44,Banking
2022-08-29,HDFCBANK,1060.83,Banking
2022-08-30,HDFCBANK,1064.55,Banking
2022-08-31,HDFCBANK,1057.27,Banking
2022-09-01,HDFCBANK,1049.45,Banking
2022-09-02,HDFCBANK,1052.19,Banking
2022-09-05,HDFCBANK,1062.1,Banking
2022-09-06,HDFCBANK,1056.15,Banking
2022-09-07,HDFCBANK,1054.67,Banking
2022-09-08,HDFCBANK,1063.31,Banking
2022-09-09,HDFCBANK,1046.79,Banking
2022-09-12,HDFCBANK,1048.66,Banking
2022-09-13,HDFCBANK,1049.28,Banking
2022-09-14,HDFCBANK,1049.87,Banking
2022-09-15,HDFCBANK,1041.18,Banking
2022-09-16,HDFCBANK,1046.43,Banking
2022-09-19,HDFCBANK,1047.0,Banking
2022-09-20,HDFCBANK,1045.19,Banking
2022-09-21,HDFCBANK,1033.44,Banking
2022-09-22,HDFCBANK,1024.13,Banking
2022-09-23,HDFCBANK,1038.54,Banking
2022-09-26,HDFCBANK,1046.35,Banking
2022-09-27,HDFCBANK,1049.42,Banking
2022-09-28,HDFCBANK,1050.92,Banking
2022-09-29,HDFCBANK,1054.39,Banking
2022-09-30,HDFCBANK,1054.71,Banking
2022-10-03,HDFCBANK,1044.74,Banking
2022-10-04,HDFCBANK,1052.36,Banking
2022-10-05,HDFCBANK,1049.92,Banking
2022-10-06,HDFCBANK,1065.95,Banking
2022-10-07,HDFCBANK,1065.17,Banking
2022-10-10,HDFCBANK,1070.21,Banking
2022-10-11,HDFCBANK,1057.27,Banking
2022-10-12,HDFCBANK,1070.06,Banking
2022-10-13,HDFCBANK,1075.39,Banking
2022-10-14,HDFCBANK,1081.92,Banking
2022-10-17,HDFCBANK,1094.26,Banking
2022-10-18,HDFCBANK,1083.03,Banking
2022-10-19,HDFCBANK,1085.66,Banking
2022-10-20,HDFCBANK,1082.01,Banking
2022-10-21,HDFCBANK,1074.33,Banking
2022-10-24,HDFCBANK,1080.89,Banking
2022-10-25,HDFCBANK,1081.14,Banking
2022-10-26,HDFCBANK,1082.07,Banking
2022-10-27,HDFCBANK,1087.16,Banking
2022-10-31,HDFCBANK,1077.35,Banking
2022-11-01,HDFCBANK,1077.11,Banking
2022-11-02,HDFCBANK,1060.67,Banking
2022-11-03,HDFCBANK,1079.09,Banking
2022-11-04,HDFCBANK,1081.08,Banking
2022-11-07,HDFCBANK,1089.16,Banking
2022-11-08,HDFCBANK,1094.85,Banking
2022-11-09,HDFCBANK,1092.94,Banking
2022-11-10,HDFCBANK,1075.26,Banking
2022-11-11,HDFCBANK,1077.58,Banking
2022-11-14,HDFCBANK,1092.04,Banking
2022-11-15,HDFCBANK,1105.07,Banking
2022-11-16,HDFCBANK,1099.29,Banking
2022-11-17,HDFCBANK,1092.59,Banking
2022-11-18,HDFCBANK,1098.14,Banking
2022-11-21,HDFCBANK,1095.61,Banking
2022-11-22,HDFCBANK,1096.85,Banking
2022-11-23,HDFCBANK,1103.8,Banking
2022-11-24,HDFCBANK,1102.72,Banking
2022-11-25,HDFCBANK,1109.0,Banking
2022-11-28,HDFCBANK,1112.9,Banking
2022-11-29,HDFCBANK,1108.98,Banking
2022-11-30,HDFCBANK,1118.12,Banking
2022-12-01,HDFCBANK,1123.0,Banking
2022-12-02,HDFCBANK,1121.54,Banking
2022-12-05,HDFCBANK,1105.4,Banking
2022-12-06,HDFCBANK,1120.34,Banking
2022-12-07,HDFCBANK,1129.45,Banking
2022-12-08,HDFCBANK,1118.61,Banking
2022-12-09,HDFCBANK,1120.55,Banking
2022-12-12,HDFCBANK,1122.22,Banking
2022-12-13,HDFCBANK,1127.18,Banking
2022-12-14,HDFCBANK,1137.14,Banking
2022-12-15,HDFCBANK,1142.69,Banking
2022-12-16,HDFCBANK,1135.06,Banking
2022-12-19,HDFCBANK,1124.95,Banking
2022-12-21,HDFCBANK,1117.99,Banking
2022-12-22,HDFCBANK,1107.98,Banking
2022-12-23,HDFCBANK,1098.71,Banking
2022-12-26,HDFCBANK,1103.65,Banking
2022-12-27,HDFCBANK,1108.1,Banking
2022-12-28,HDFCBANK,1101.79,Banking
2022-12-29,HDFCBANK,1098.36,Banking
2022-12-30,HDFCBANK,1095.73,Banking
2023-01-02,HDFCBANK,1113.78,Banking
2023-01-03,HDFCBANK,1104.63,Banking
2023-01-04,HDFCBANK,1105.65,Banking
2023-01-05,HDFCBANK,1116.49,Banking
2023-01-06,HDFCBANK,1114.98,Banking
2023-01-09,HDFCBANK,1110.67,Banking
2023-01-10,HDFCBANK,1097.96,Banking
2023-01-11,HDFCBANK,1100.83,Banking
2023-01-12,HDFCBANK,1100.97,Banking
2023-01-13,HDFCBANK,1087.43,Banking
2023-01-17,HDFCBANK,1091.08,Banking
